,Profit,Recency,Frequency,Monetary,Variance,SegmentId
885,1100,2,28,52876.97,41,1
886,33,32,6,651.37,5,0
887,246,1,3,10788.36,8,0
888,168,3,2,10348.39,11,0
889,77,5,8,1588.25,7,0
890,189,17,5,1307.49,5,0
891,72,11,2,1231.36,4,0
892,39,13,2,1208.82,4,0
893,636,4,21,21218.35,30,1
894,1070,48,4,110996.1,39,1
895,130,4,4,1805.7,7,0
896,762,5,18,27480.2,33,1
897,309,7,9,26561.31,26,1
898,430,3,14,9691.09,12,1
899,160,2,12,1826.9,4,0
900,407,3,8,18689.3,19,1
901,113,33,7,2853.13,8,0
902,160,84,1,1509.6,1,0
903,8,39,1,58.58,1,0
904,137,5,7,6971.09,14,0
905,91,77,1,7312.23,9,0
906,682,5,14,28299.73,29,1
907,68,3,4,1765.06,9,0
908,1106,7,20,76640.95,55,1
909,242,7,16,3942.26,13,0
910,402,4,37,10581.29,14,1
911,82,41,3,2460.26,5,0
912,180,63,1,3196.5,2,0
913,310,6,16,8161.62,11,1
914,158,46,4,1697.56,4,0
915,1342,3,24,64935.49,55,1
916,980,3,16,38342.38,36,1
917,126,5,7,4173.97,12,0
918,190,3,8,10416.61,15,1
919,204,7,11,8821.47,13,0
920,89,28,5,2508.17,7,0
921,305,2,18,6989.82,12,1
922,14,47,1,223.64,2,0
923,124,4,10,3114.92,10,1
924,352,3,13,8001.38,18,1
925,230,4,6,8846.23,14,1
926,243,7,18,6652.88,23,1
927,143,23,2,7033.32,10,0
928,130,21,4,9006.19,12,0
929,1277,6,26,66846.79,41,1
930,268,6,3,2000.76,3,0
931,72,19,5,646.65,7,0
932,100,12,8,3086.02,10,0
933,3851,3,31,233777.88,41,1
934,169,9,12,3301.53,10,0
935,28,12,5,737.9,5,0
936,124,10,11,3399.75,7,0
937,1460,3,10,65198.32,45,1
938,726,4,14,14903.21,21,1
939,144,3,1,695.76,1,0
940,13,87,1,298.35,3,0
941,37692,11,5,19508751.9,109,2
942,10,17,5,159.33,3,0
943,273,3,35,3827.59,15,1
944,262,13,11,8513.0,7,0
945,395,6,14,17208.6,23,1
946,353,7,19,10957.61,27,1
947,90,11,13,8631.27,23,1
948,146,4,10,1076.9,5,0
949,10,21,2,112.66,2,0
950,1401,12,15,167885.56,55,1
951,192,4,21,3447.44,11,1
952,189,1,3,6876.27,5,0
953,60,5,1,299.97,1,0
954,642,4,13,21839.95,30,1
955,158,7,19,2841.52,15,1
956,390,4,16,15809.28,22,1
957,243,23,11,11247.9,21,0
958,194,4,6,3804.65,10,0
959,62,48,2,235.6,1,0
